tier,gen_arm,test,sigma_het,sigma_donor,n_donors,n_perm,lambda_pb,fp_rate,fp_binom_p,mean_rejections,power,power_sd,n_power_reps,prior_df_d0,shrinkage,seconds
C,gamma,ebayes,0.8,0.5,8,400,1.0064373327645026,0.0375,0.9010205427812117,0.0475,0.42180000000000006,,,2.821168320675619,0.16771536119806854,682.2559161999961
C,gamma,ebayes_trend,0.0,0.5,8,400,1.0067937259735036,0.03,0.980953969292611,0.03,0.183,,,92.12087413022083,0.8680749653190699,682.039720700006
C,gamma,ebayes_trend,0.8,0.5,8,400,1.0037166595300038,0.04,0.850071850911589,0.05,0.4202,,,2.8989863174319463,0.17154794157336714,681.651588400011
C,gamma,pooled_t,0.0,0.5,8,400,1.0041815307437898,0.04,0.850071850911589,0.0475,0.0518,,,0.0,0.0,680.2412432999699
C,gamma,pooled_t,0.8,0.5,8,400,1.0100068725583786,0.0375,0.9010205427812117,0.05,0.39059999999999995,,,0.0,0.0,671.9755258999649
C,gamma,ttest,0.0,0.5,8,400,0.999152678104793,0.0325,0.9644940958223824,0.0375,0.028200000000000003,,,,,678.3678542000125
C,gamma,ttest,0.8,0.5,8,400,1.0035171879752602,0.02,0.9993796522750636,0.025,0.3582,,,,,673.7245746999979
C,gamma,voom,0.0,0.5,8,400,1.009571583500417,0.03,0.980953969292611,0.03,0.18239999999999998,,,85.33245082039558,0.8590591505155389,722.7925451999763
C,gamma,voom,0.8,0.5,8,400,1.0059769816183042,0.0375,0.9010205427812117,0.045,0.41940000000000005,,,2.858293214741958,0.1695481967440503,728.9007830999908
C,gamma,wilcoxon,0.0,0.5,8,400,0.9752127003140404,0.0,1.0,0.0,0.0246,,,,,680.9479174999869
C,gamma,wilcoxon,0.8,0.5,8,400,1.0243027890874012,0.0,1.0,0.0,0.0824,,,,,677.1728012000094
C,lognormal,ebayes,0.0,0.5,8,400,0.9949548886466929,0.06,0.20730524524481495,0.0625,0.4006,,,367.3961488957858,0.9632927599281412,683.1777110999683
C,lognormal,ebayes,0.8,0.5,8,400,0.9935191358865055,0.05,0.5320300507088195,0.055,0.5056,,,4.275139706417355,0.2339319849312085,679.0546367000206
C,lognormal,ebayes_trend,0.0,0.5,8,400,0.9964626775327553,0.0625,0.15102194003740488,0.0675,0.3994,,,374.08628355552304,0.9639255480205678,684.425236799987
C,lognormal,ebayes_trend,0.8,0.5,8,400,0.9946422868079527,0.0525,0.44088793753401595,0.0575,0.5078,,,4.326009135276063,0.2360584404025452,682.1545640999684
C,lognormal,pooled_t,0.0,0.5,8,400,0.9995770091005749,0.0425,0.78554801416881,0.0525,0.155,,,0.0,0.0,684.0641026999801
C,lognormal,pooled_t,0.8,0.5,8,400,0.9981542509222527,0.0375,0.9010205427812117,0.045,0.44939999999999997,,,0.0,0.0,682.0232821999816
C,lognormal,ttest,0.0,0.5,8,400,0.9935257812503782,0.035,0.9386381002497156,0.0425,0.11939999999999999,,,,,686.2093711000052
C,lognormal,ttest,0.8,0.5,8,400,0.9895865749180728,0.0225,0.9982837286124748,0.0275,0.4264,,,,,682.1574426000006
C,lognormal,voom,0.0,0.5,8,400,0.9969347941245432,0.06,0.20730524524481495,0.065,0.3978,,,379.6090568761999,0.9644317127479022,723.8453098000027
C,lognormal,voom,0.8,0.5,8,400,0.9944360267095507,0.05,0.5320300507088195,0.0525,0.5068,,,4.318367255545533,0.23573974663261707,723.5093522000243
C,lognormal,wilcoxon,0.0,0.5,8,400,0.9752127003140404,0.0,1.0,0.0,0.1014,,,,,687.1494357000338
C,lognormal,wilcoxon,0.8,0.5,8,400,0.9752127003140404,0.0,1.0,0.0,0.39,,,,,683.645202499989
D,directnb,wald,0.0,0.5,8,150,1.0551965425830954,0.26,1.13860800625887e-17,0.3933333333333333,0.3592,,,,,313.53457939997315
D,directnb,wald,0.8,0.5,8,150,0.969404442831403,0.56,5.78061127944378e-68,1.1666666666666667,0.5612,,,,,322.20150070003
